station,latitude,longitude,elevation,name,annual_precip,precip_norm,elev_norm,lat_norm,long_norm,coastal_penalty,survivability,survivability_category
US1NCPK0008,35.2276,-81.9767,285.6,"RUTHERFORDTON 9.5 S, NC US",53.41,0.3601201652271872,0.24432645371242614,0.39914283052268706,0.2626280926229977,0.7373719073770023,0.41953907421681336,Medium
US1NCPK0025,35.2247,-82.1908,338.0,"COLUMBUS 1.7 SSE, NC US",57.82,0.525722868944799,0.28920099340584055,0.3977918568899637,0.23838532525618544,0.7616146747438146,0.4880229274213775,Medium
US1NCPM0010,35.0905,-76.7202,2.4,"ORIENTAL 4.3 NNW, NC US",60.11,0.6117161096507697,0.0017984071251177529,0.33527438740333376,0.8578270961897749,0.14217290381022507,0.2325539698477964,Low
US1NCPM0021,35.2969,-76.5613,0.6,"LOWLAND 0.2 SE, NC US",56.76,0.48591813743897844,0.0002569153035882504,0.4314264418149625,0.8758195097095625,0.12418049029043754,0.21115805634187063,Low
US1NCPR0005,36.1158,-76.4339,3.0,"HERTFORD 5.2 SSE, NC US",51.12,0.27412692452121656,0.002312237732294254,0.8129134445169095,0.89024514521882,0.10975485478117997,0.2135758376302237,Low
US1NCPT0007,35.5258,-77.4605,25.9,"WINTERVILLE 3.5 W, NC US",52.61,0.3300788584303417,0.0219234392395307,0.5380601882046,0.7740021513899118,0.2259978486100882,0.2193900321800584,Low
US1NCPT0008,35.5857,-77.3553,20.7,"GREENVILLE 1.4 SE, NC US",51.06,0.2718738265114533,0.017470240644001024,0.5659647815149541,0.7859140576346038,0.21408594236539624,0.2044154826501862,Low
US1NCPT0010,35.6746,-77.6377,33.8,"FOUNTAIN 0.1 NE, NC US",52.06,0.30942546000751037,0.028688875567354628,0.6073791111525183,0.7539376096925785,0.2460623903074215,0.23202014751991695,Low
US1NCPT0088,35.5489,-77.3111,19.8,"GREENVILLE 5.0 SE, NC US",50.55,0.252722493428464,0.016699494733236276,0.5488213919686951,0.7909188699541422,0.20908113004585782,0.19566980552820995,Low
US1NCRB0007,34.6207,-78.9719,44.5,"LUMBERTON 2.6 ESE, NC US",48.98,0.1937664288396544,0.037852188062002225,0.11641665890244887,0.6028647455132192,0.3971352544867808,0.1642572509736382,Low
US1NCRG0012,36.5166,-79.7035,176.5,"EDEN 2.3 ENE, NC US",48.16,0.16297408937288757,0.1508949216408324,0.9996273176185572,0.5200249108305491,0.47997508916945086,0.36213009864031187,Low
US1NCRT0006,35.4418,-82.2543,366.7,"CHIMNEY ROCK 0.3 E, NC US",58.41,0.5478783327074725,0.31377922411578313,0.49892853815335797,0.23119515371114727,0.7688048462888527,0.522459445215534,Medium
US1NCRW0002,35.5634,-80.6582,263.3,"CHINA GROVE 4.4 W, NC US",46.47,0.0995118287645512,0.22522908281236617,0.5555762601323019,0.4119232293494883,0.5880767706505117,0.3384442917472685,Low
US1NCRW0016,35.5895,-80.4655,254.8,"FAITH 0.3 WNW, NC US",46.39,0.0965076980848667,0.21794981587736575,0.5677350228267952,0.43374285229009724,0.5662571477099028,0.33151351542589935,Low
US1NCWK0106,35.7965,-78.7874,137.5,"CARY 0.5 NW, NC US",50.34,0.24483665039429225,0.11749593217435984,0.6641665890245037,0.6237558738606122,0.37624412613938785,0.2948309422673061,Low
US1NCWK0119,35.8036,-78.7544,127.1,"RALEIGH 5.5 WSW, NC US",48.97,0.1933909125046939,0.1085895349833005,0.6674741451597879,0.6274924984430728,0.37250750155692725,0.27726511770317736,Low
US1NCWK0203,35.8713,-78.6387,121.6,"RALEIGH 3.6 NNE, NC US",49.61,0.21742395794217043,0.10387942108418258,0.699012391689181,0.6405933306912757,0.35940666930872434,0.28302889264275594,Low
US1NCWK0214,35.6558,-78.7778,95.4,"HOLLY SPRINGS 3.3 E, NC US",52.15,0.31280510702215536,0.08144215123747538,0.598621075188669,0.624842891920965,0.375157108079035,0.2837469352683839,Low
