Geographic Area Name,age_Under 5 years,age_5 to 9 years,age_10 to 14 years,age_15 to 19 years,age_20 to 24 years,age_25 to 29 years,age_30 to 34 years,age_35 to 39 years,age_40 to 44 years,age_45 to 49 years,age_50 to 54 years,age_55 to 59 years,age_60 to 64 years,age_65 to 69 years,age_70 to 74 years,age_75 to 79 years,age_80 to 84 years,age_85 years and over,gun_ownership,active_duty_forces,veteran_population,social_community_factors_score
"Columbus County, North Carolina",0.034903587991213084,0.03697131026323573,0.03364910951117848,0.03525906511553154,0.04047724953557131,0.029301854145976882,0.03015075376884422,0.023332436793975255,0.03561078912171199,0.032097252753852994,0.038251163251163255,0.043285699952701054,0.05460315532137814,0.04990885541590713,0.07184815875209793,0.07054125998225377,0.0715955222044532,0.06950363910563241,0.06391610398793085,0.0,0.06303337714507859,0.9282403441196878
"Craven County, North Carolina",0.08089930301304478,0.07831195719394478,0.07374005305039788,0.07336160322425112,0.11462884952510531,0.070152447452213,0.0625062069239478,0.07014299802761341,0.05232946946054391,0.058236332840823093,0.06375606375606375,0.08049420229614872,0.10399805639491626,0.12489686270747385,0.13434198835028138,0.1388642413487134,0.1725919547299791,0.14425283587961446,0.1346368578199218,0.13122710622710623,0.23900849701031118,2.202377887232415
"Cumberland County, North Carolina",0.3331706126433976,0.3196875588179936,0.2887836301629405,0.2874627566852523,0.42709123734268295,0.30524300471983046,0.2594891453314001,0.24532678859601936,0.22171199286669638,0.19923841099378956,0.20552420552420553,0.2436038928463931,0.2613541461044384,0.2895519524129329,0.2732007108302893,0.28778467908902694,0.28742772788780907,0.30706183201101567,0.27473073678536303,1.0,0.9584035246857587,7.275848546337235
"Currituck County, North Carolina",0.018468798307704825,0.022371003737463365,0.025123152709359605,0.021251869892566173,0.016169967817054345,0.013084475750719237,0.017339662740580374,0.02649273803119957,0.017420864913062863,0.018475140245294126,0.02385902385902386,0.0320629505941034,0.03358792535341725,0.0437302120310851,0.019597196169414553,0.028948535936113576,0.029339402140484683,0.027801455642252965,0.030029367804625343,0.0,0.04909383735352376,0.514247581029049
"Dare County, North Carolina",0.018862039975049493,0.019776289962625367,0.02482000757862827,0.025492353530233536,0.018878044951463932,0.016043328248338845,0.015005859336206726,0.024464317733548503,0.02152251448952296,0.02642737876439992,0.028672903672903673,0.03937278734108272,0.049318978999954445,0.055339153794492946,0.07140388982130516,0.06089174800354925,0.04022635010456391,0.049373811553340766,0.04059687700175367,0.0,0.058997760047390733,0.7054863949103547
"Davidson County, North Carolina",0.12282700078648333,0.13047511494716463,0.14014146772767463,0.1320731390705552,0.12356419581883356,0.1040615113695699,0.10404790752179871,0.10854850277927201,0.11462327240303165,0.12327170949103271,0.15327690327690327,0.17685505023721138,0.18518912188529693,0.2015350666794589,0.20865830782900582,0.23580301685891747,0.2168778447533522,0.21670710117369352,0.2300034653309391,0.0,0.16599714915122457,3.1945368490914197
"Davie County, North Carolina",0.027581156944105442,0.029442607082358636,0.03439434129089301,0.031092759034208217,0.03222219315000392,0.019575522406396855,0.020130295747512263,0.027030661646046263,0.026315202853321444,0.02831333261258664,0.03623403623403623,0.04825925554329287,0.042243041741956054,0.04887268540727238,0.06061802744594728,0.0612614611061816,0.06987329314798868,0.08176513015539964,0.05567631708828193,0.0,0.04974175752975805,0.8306430781675473
"Duplin County, North Carolina",0.04118189461123315,0.043115269823344356,0.03560692181381837,0.04177432714774933,0.03681415003008975,0.026056330818138074,0.02668480743639144,0.028689259458490227,0.027975925100312084,0.032253414537460806,0.034563409563409565,0.04592297438690536,0.04561398180907117,0.0480859637340497,0.0676276039095666,0.06237060041407867,0.06230778693566244,0.07455248836141892,0.06012874229488916,0.0,0.056905903478405746,0.8982317556644849
"Durham County, North Carolina",0.2685298185664307,0.2259417601032508,0.2378931413414172,0.26099373199648895,0.2971951123786598,0.29662240332538165,0.30685045782271037,0.29147615205307514,0.23958983504235398,0.23420663807704784,0.23708048708048707,0.2577362438905531,0.2828856461727683,0.3226518276887652,0.3106180274459473,0.30627033422064476,0.3215647681141592,0.2963740082617533,0.28674388404092593,0.0,0.28249319683814955,5.5637174744609705
"Edgecombe County, North Carolina",0.036151113280720314,0.047955150439622486,0.02967032967032967,0.03885667659821727,0.03252309060938277,0.029568048488323284,0.02830357320197827,0.025775506544737314,0.029090503789567543,0.027892897041334824,0.031556281556281554,0.04231105505310381,0.05445131117421079,0.061594550513287924,0.06098825155494126,0.058377698905649214,0.06569073686800345,0.0741590715362927,0.06016724597199032,0.0,0.05026009367074548,0.8853431864687202
"Forsyth County, North Carolina",0.3011146367260597,0.3059476755128929,0.3367310850069471,0.35165106877495766,0.3442266935293964,0.2567137284612943,0.25840665779490335,0.26674287251210327,0.26310744538564423,0.27232212572224823,0.30333630333630335,0.3518898077942926,0.37891188484139876,0.40425981003549843,0.44481192615263104,0.4417701863354037,0.4367080821749293,0.4762310668152908,0.32771879714512736,0.0,0.4286084525814991,6.951210306638822
"Franklin County, North Carolina",0.0550131532557698,0.0608749428625205,0.05305039787798409,0.05864972121601741,0.05399147021115152,0.041198693600073714,0.04677537887063778,0.05158463331540255,0.04903031654034775,0.05547347051545401,0.05967230967230967,0.08281615043930686,0.06851207920190716,0.07863379065528159,0.08322637970184618,0.10351966873706005,0.06372247508918687,0.0622909973116517,0.079828623633557,0.0,0.06349617727096021,1.2713608299784265
"Gaston County, North Carolina",0.18223361267051771,0.18975020838374876,0.1918908677529367,0.18020201021177693,0.17496533137968026,0.15446438626846723,0.1657199038671619,0.1807647480724404,0.14952073116362016,0.1759222554566531,0.20286357786357787,0.2270635955796987,0.22691589352688402,0.2449582653746522,0.2469394806989831,0.279170363797693,0.24252675605855578,0.24719690512097567,0.19731384347205158,0.0,0.2522445806105259,4.112627317330601
"Gates County, North Carolina",0.002264529601605511,0.006480062380683499,0.00618921308576481,0.007615562451320979,0.004748946858892174,0.002201222446326006,0.004111466423024212,0.005625784471938318,0.002741863575568435,0.003771907696373443,0.006657756657756658,0.006421189926758303,0.014394825151464537,0.011186798426556654,0.007256392536281963,0.013235729074238391,0.005351211711157584,0.019867549668874173,0.007186186280789816,0.0,0.010811010940594976,0.14811920936597045
"Graham County, North Carolina",0.0024001301765519487,0.0024333844209620606,0.004989263609953265,0.004203394859495346,0.0039639969648604095,0.004832451137980813,0.002055733211512106,0.004953379953379953,0.0,0.002943048998762718,0.002697752697752698,0.005690206252060371,0.0054208360538743035,0.007886405065720041,0.005874222529371113,0.013753327417923691,0.008795669824086604,0.010884532161825455,0.00640561173592078,0.0,0.005535089505544345,0.10571843657753803
"Granville County, North Carolina",0.041412415588642094,0.04212040547444274,0.04355185044840217,0.04223175541187088,0.047711871058897404,0.0353321798245165,0.03701312888553439,0.04051237224314148,0.038898796255015605,0.04579143993176931,0.05081180081180081,0.06348091559288509,0.06836023505473982,0.06662189388851578,0.06338236745976898,0.06562407571724342,0.07627014392914258,0.06452035932070029,0.07902004641443258,0.0,0.05505470297487921,1.0677227562863412
"Greene County, North Carolina",0.011376888238006129,0.011037616627678739,0.012327901983074397,0.015738004870992868,0.01581674036474005,0.012316607455489235,0.013109023377758357,0.016518737672583828,0.012739634418189923,0.012973440484341778,0.012387387387387387,0.01600997577720764,0.01837314180724904,0.020301256835843808,0.015574094185013328,0.018152913339248743,0.0206052404969861,0.01947413284374795,0.02361325506585879,0.0,0.012810307484403635,0.31125630071580174
"Guilford County, North Carolina",0.4115070647899547,0.45816192089484015,0.42649993684476445,0.5589278870523076,0.531738140715351,0.36744033663346065,0.3663872723300296,0.38531020261789495,0.3721020954079358,0.3862241281968119,0.43337293337293337,0.48369619745159026,0.5005542311371608,0.524263647702197,0.5899397768782703,0.5766045548654244,0.5853118464755812,0.663300767162809,0.46192861418265446,0.0,0.5432718117699328,9.626543366481904
"Halifax County, North Carolina",0.0334526618392862,0.034954693339786506,0.034482758620689655,0.03308319012943984,0.03237918312881028,0.026107522037820075,0.02783681252110354,0.02429621660390891,0.030071333036112348,0.028445469506408638,0.03176665676665677,0.04559331508262982,0.05467907739496181,0.06282260385685504,0.06158061012933162,0.06451493640934634,0.060524049698609916,0.08425677004786572,0.06017424664055417,0.0,0.053073918436105816,0.884096025226283
"Harnett County, North Carolina",0.12953922924633202,0.12676453980801808,0.12916508778577743,0.11189684374497756,0.10612522567309453,0.09942358686638068,0.10877510080044492,0.12062937062937062,0.09703522068658048,0.0965920693838817,0.0989010989010989,0.10411500809815248,0.12146013331916121,0.11699126930826058,0.12140882614275841,0.11830819284235433,0.12744495017837373,0.13461412366402203,0.17448116295106184,0.0,0.22207001240304336,2.4657410524331445
"Haywood County, North Carolina",0.033845903506630866,0.041622973299991935,0.03561955286093217,0.03926465315810946,0.0371804599806379,0.03379644323405649,0.03742030309651022,0.03424780347857271,0.03819661168078466,0.039184595240669334,0.049524799524799525,0.06386790695007812,0.06951425057321166,0.09406121078384343,0.09346924671734623,0.1096938775510204,0.1206175421331037,0.11520556029112845,0.07049673243794782,0.0,0.09720653844017846,1.2540369649395533
"Henderson County, North Carolina",0.07072925989206194,0.07672555188083138,0.08270809650119995,0.07613089866109511,0.07020068552290745,0.05789726946034216,0.06331062426758298,0.07154384077461,0.07604770396790013,0.07902987495044866,0.09252796752796753,0.12193094354226089,0.12203714107839714,0.15857238798810322,0.22280086879257577,0.2204229517894114,0.25415180218969124,0.2136909055143925,0.13598098618418059,0.0,0.16932931005757235,2.4357690705435324
"Hertford County, North Carolina",0.010888726168198953,0.009383990750450377,0.014247821144372869,0.01885346223744236,0.016039142834715716,0.008989178176159225,0.009653008123622063,0.009817105970952126,0.010677663843067321,0.00900933366968179,0.010122760122760123,0.018317590907136406,0.01805426909819761,0.023064376858869806,0.02339816368841939,0.035122744750073945,0.015377045147004552,0.029571831355320963,0.022367136061493872,0.0,0.017697476813713694,0.33065282772165316
"Hoke County, North Carolina",0.05584031676294308,0.05586028877954344,0.04468864468864469,0.03999406579549248,0.04038567204793427,0.04108607291677332,0.04549426976781139,0.043773534158149545,0.037460989745876055,0.034355592393719894,0.03498415998415998,0.042798377502902434,0.03958576916652748,0.038184783651539864,0.042304274854378515,0.03423543330375629,0.028662812154016483,0.029965248180447185,0.06330004515431224,0.0,0.10933190173827727,0.9022922527472058
"Hyde County, North Carolina",0.0002983212648821631,0.0,0.0,0.0030783685882774733,0.00036630995054815667,0.0,0.0006951754821538522,0.0008405056481979559,0.0017721801159161837,0.0036157459127656253,0.0010023760023760023,0.0007309836746979318,0.005739708762925733,0.002916626690971889,0.0,0.0,0.0011071472505843278,0.0,0.0017571678095258097,0.0,0.0,0.023920617153823105
"Iredell County, North Carolina",0.14086187725435956,0.15694657309564142,0.1607679676645194,0.15815891305154103,0.1440906355477642,0.11916292117575994,0.12062287723200985,0.1376299982069213,0.13905483727151136,0.15415570531070188,0.17594792594792594,0.19168971892961056,0.20901346857585373,0.20888419840736833,0.21092901569750222,0.2222715173025732,0.22056833558863329,0.20831420890433414,0.2186343795832502,0.0,0.1918028841703845,3.489507958918166
"Jackson County, North Carolina",0.018034876467876222,0.02688822564598962,0.02446633825944171,0.05149158702881798,0.07073706795049582,0.020711967483337257,0.022692513953165034,0.024273803119956965,0.024119482835488187,0.022355159945703747,0.027274527274527276,0.033209591652453095,0.042349332644973196,0.04716492372637436,0.05775496100306052,0.07120674356699201,0.042256120063968505,0.046160907481476623,0.04670145998942899,0.0,0.050426701716062866,0.77027629180959
"Johnston County, North Carolina",0.19161717245681123,0.2030598800785136,0.22484526967285587,0.2015156947346298,0.17372249404746332,0.1401820359771892,0.1577849722922915,0.18005872332795408,0.17940258582255908,0.19032517688325104,0.20703395703395702,0.21449354297754017,0.21170110998071578,0.20370334836419457,0.2265277914897818,0.20019964507542148,0.20131627506458358,0.1923808274867222,,0.0,0.21871933949166034,3.7185898422580954
"Jones County, North Carolina",0.004529059203211022,0.003172810626226775,0.004736642667677151,0.003993225116520578,0.004801276851827625,0.003921247427641211,0.003654636820465966,0.00412408104715797,0.00202853321444494,0.00380794503105217,0.0045045045045045045,0.007610830024796113,0.009566181271542889,0.01233809843615082,0.005627406456708461,0.011239278320023662,0.004244064460573256,0.017834896072388695,0.00821528455967545,0.0,0.01107017901108869,0.13102018112367794
"Lee County, North Carolina",0.05243674233178749,0.05225726654298083,0.058330175571554885,0.050687996835090926,0.05121798058557262,0.03891556520225651,0.04225673823663773,0.04117357001972387,0.045575122603655815,0.04456617055269259,0.0495990495990496,0.06071464403961645,0.06221054709446224,0.06969202724743356,0.06572712015006417,0.07261165335699497,0.06827408045270021,0.07750311454986558,0.08211084158537141,0.0,0.08100853403432126,1.1668689405918327
